pair_id,ESP_original,SHIWILU_original,ESP_normalizado,SHIWILU_normalizado,source,source_pair_id
U00035,Tengo diecinueve.,A'ÑAPALEK SHUNKA'ISKUN,tengo diecinueve.,a'ñapalek shunka'iskun,flashcards,P00035
U00036,Estoy levantado.,YUNSANSU' ÑAPALEK,estoy levantado.,yunsansu' ñapalek,flashcards,P00036
U00037,Escucha.,LAU'TER,escucha.,lau'ter,flashcards,P00037
U00038,Escuché.,LAU'TULEK,escuché.,lau'tulek,flashcards,P00038
U00039,Escuchen.,LAU'TUKU',escuchen.,lau'tuku',flashcards,P00039
U00040,Escucharon.,LAU'TULLINA',escucharon.,lau'tullina',flashcards,P00040
U00041,Estoy escuchando.,LAU'TAPALEK,estoy escuchando.,lau'tapalek,flashcards,P00041
U00042,Estoy abriendo mi boca.,LAUK'APALEK,estoy abriendo mi boca.,lauk'apalek,flashcards,P00042
U00043,¡Imposible!,¡SAKA'DEK!,¡imposible!,¡saka'dek!,flashcards,P00043
U00044,¿En serio?,¿TEKINCHI?,¿en serio?,¿tekinchi?,flashcards,P00044
U00045,¿La verdad?,¿TEKINCHI?,¿la verdad?,¿tekinchi?,flashcards,P00045
U00046,¡Gracias!,¡YUSPEINET'ECHUN!,¡gracias!,¡yuspeinet'echun!,flashcards,P00046
U00047,Gracias.,YUSPEINET'ECHUN,gracias.,yuspeinet'echun,flashcards,P00047
U00048,Pruébalo. (saborear),LATA'KER,pruébalo. (saborear),lata'ker,flashcards,P00048
U00049,Pruébalo. (intentar),TEKLE'RIER',pruébalo. (intentar),tekle'rier',flashcards,P00049
U00050,Lo procuramos.,TEKLE'RIER'CHIDEK,lo procuramos.,tekle'rier'chidek,flashcards,P00050
U00051,Ganamos.,KANA'LLIDEK,ganamos.,kana'llidek,flashcards,P00051
U00052,Estate tranquilo.,MUSU' ÑAPAKER',estate tranquilo.,musu' ñapaker',flashcards,P00052
U00053,Sean gentiles.,MUKANKAN ÑIKER',sean gentiles.,mukankan ñiker',flashcards,P00053
U00054,Sé agradable.,MUKANKAN ÑIKER',sé agradable.,mukankan ñiker',flashcards,P00054
U00055,Llámame.,PEKLU'U,llámame.,peklu'u,flashcards,P00055
U00056,Llámanos.,PEKLU'UDEK,llámanos.,peklu'udek,flashcards,P00056
U00057,Entre.,DA'KERKER',entre.,da'kerker',flashcards,P00057
U00058,Pase.,DA'KERKER',pase.,da'kerker',flashcards,P00058
U00059,¡Entren!,¡DAKER'KU'!,¡entren!,¡daker'ku'!,flashcards,P00059
U00060,Suéltalo.,APU'KER',suéltalo.,apu'ker',flashcards,P00060
U00061,Bájate.,NU'WANKER',bájate.,nu'wanker',flashcards,P00061
U00062,Sal. ,YUNSUER',sal.,yunsuer',flashcards,P00062
U00063,Sal. ,DAMULA,sal.,damula,flashcards,P00063
U00064,Salgan.,YUNSU'KU',salgan.,yunsu'ku',flashcards,P00064
U00065,¡Largo!,¡PAKER'!,¡largo!,¡paker'!,flashcards,P00065
U00066,Largo ,SHIN,largo,shin,flashcards,P00066
U00067,¡Vete ya!,¡PAKER'!,¡vete ya!,¡paker'!,flashcards,P00067
U00068,Lárguese.,¡PAKU'!,lárguese.,¡paku'!,flashcards,P00068
U00069,Vaya despacio.,PAKER' UTI'LA,vaya despacio.,paker' uti'la,flashcards,P00069
U00070,¡Hasta luego!,¡PANTE'CHEK!,¡hasta luego!,¡pante'chek!,flashcards,P00070
U00071,¡Chau!,¡PANTE'CHEK!,¡chau!,¡pante'chek!,flashcards,P00071
U00072,¡Un segundo!,¡IPIA'LASHA!,¡un segundo!,¡ipia'lasha!,flashcards,P00072
U00073,Agarra fuertemente.,PILLI'TER' IKERSU',agarra fuertemente.,pilli'ter' ikersu',flashcards,P00073
U00074,Dolor,IKER,dolor,iker,flashcards,P00074
U00075,El ají pica,NUKA' IKERLLI,el ají pica,nuka' ikerlli,flashcards,P00075
U00076,Él vino.,NANA UK'LLI,él vino.,nana uk'lli,flashcards,P00076
U00077,Él renunció.,NANA YUNSU'LLI,él renunció.,nana yunsu'lli,flashcards,P00077
U00078,Ayúdame.,KATU'PA'U,ayúdame.,katu'pa'u,flashcards,P00078
U00079,Ayúdanos.,KATU'PA'UDEK,ayúdanos.,katu'pa'udek,flashcards,P00079
U00080,Espera.,WA'TENKER',espera.,wa'tenker',flashcards,P00080
U00081,Resista.,YAN'KATEK'TER',resista.,yan'katek'ter',flashcards,P00081
U00082,Resiste.,YAN'KATEK'TER',resiste.,yan'katek'ter',flashcards,P00082
U00083,De acuerdo.,MUETCHUN,de acuerdo.,muetchun,flashcards,P00083
U00084,Me incliné.,YEN'NER'LEK',me incliné.,yen'ner'lek',flashcards,P00084
U00085,Dormí.,WICHI'LEK,dormí.,wichi'lek,flashcards,P00085
U00086,Durmiendo,WICHA'PALEK,durmiendo,wicha'palek,flashcards,P00086
U00087,Me voy a dormir,WICHIN'DEK'CHEK,me voy a dormir,wichin'dek'chek,flashcards,P00087
U00088,Voy a dormir,WICHI'ECHEK,voy a dormir,wichi'echek,flashcards,P00088
U00089,Lo intenté.,TEKLE'RILEK',lo intenté.,tekle'rilek',flashcards,P00089
U00090,Iré.,PA'ECHEK,iré.,pa'echek,flashcards,P00090
U00091,Soy Tom.,NUKA'KU TOM,soy tom.,nuka'ku tom,flashcards,P00091
U00092,Estoy gordo.,WEIPENSU' ÑAPALEK,estoy gordo.,weipensu' ñapalek,flashcards,P00092
U00093,Soy gorda.,WEILUNSU' NUKA'KA,soy gorda.,weilunsu' nuka'ka,flashcards,P00093
U00094,Estoy afectado.,MUIN'SU' ÑAPALEK,estoy afectado.,muin'su' ñapalek,flashcards,P00094
U00095,Soy viejo.,TASERPIKU,soy viejo.,taserpiku,flashcards,P00095
U00096,Soy tímido.,TEKUA'DANDE'KU,soy tímido.,tekua'dande'ku,flashcards,P00096
U00097,Estoy mojada.,WIWERAPALEK,estoy mojada.,wiwerapalek,flashcards,P00097
U00098,Está bien.,MUPALLI,está bien.,mupalli,flashcards,P00098
U00099,Soy yo.,KUA NUKA'KA,soy yo.,kua nuka'ka,flashcards,P00099
U00100,Guárdalo.,SEKDIPERKER',guárdalo.,sekdiperker',flashcards,P00100
U00101,"Yo, también.",KUANTA',"yo, también.",kuanta',flashcards,P00101
U00102,Abre.,EK'KE'CHER',abre.,ek'ke'cher',flashcards,P00102
U00103,¡Perfecto!,¡MUPALLI!,¡perfecto!,¡mupalli!,flashcards,P00103
U00104,Nos vemos.,INLLI'TER,nos vemos.,inlli'ter,flashcards,P00104
U00105,Enséñamelo. (pasar conocimiento),ALEK'U,enséñamelo. (pasar conocimiento),alek'u,flashcards,P00105
U00106,Enséñamelo. (muestramelo),ALLI'U,enséñamelo. (muestramelo),alli'u,flashcards,P00106
U00107,Muestrame.,ALLI'U,muestrame.,alli'u,flashcards,P00107
U00108,Hasta luego.,PANTE'CHEK,hasta luego.,pante'chek,flashcards,P00108
U00109,Páralo. (poner vertical),A'WANERKER',páralo. (poner vertical),a'wanerker',flashcards,P00109
U00110,Páralo. (detener),TU'NEKER',páralo. (detener),tu'neker',flashcards,P00110
U00111,Deténlo.,TU'NEKER',deténlo.,tu'neker',flashcards,P00111
U00112,Cógelo.,MAKER',cógelo.,maker',flashcards,P00112
U00113,Macambo (fruta),MAKER,macambo (fruta),maker,flashcards,P00113
U00114,Dimelo.,ITU'U,dimelo.,itu'u,flashcards,P00114
U00115,Tom comió.,TOM WERANPALLI,tom comió.,tom weranpalli,flashcards,P00115
U00116,Tom corrió.,TOM TEKA'LLI,tom corrió.,tom teka'lli,flashcards,P00116
U00117,Tom ganó.,TOM KANA'TULLI,tom ganó.,tom kana'tulli,flashcards,P00117
U00118,Espérame despierto.,WA'TEN'U NANPISU',espérame despierto.,wa'ten'u nanpisu',flashcards,P00118
U00119,¡Despierta!,¡NANPIKER'!,¡despierta!,¡nanpiker'!,flashcards,P00119
U00120,Despierta.,NANPIKER',despierta.,nanpiker',flashcards,P00120
U00121,Crudo,NANPI,crudo,nanpi,flashcards,P00121
U00122,Vivo,NANPI,vivo,nanpi,flashcards,P00122
U00123,Lo sabemos.,ÑINCHITAPALLIDEK,lo sabemos.,ñinchitapallidek,flashcards,P00123
U00124,Perdimos.,WER'LLIDEK,perdimos.,wer'llidek,flashcards,P00124
U00125,Bienvenidos.,MUWENCHA'KU',bienvenidos.,muwencha'ku',flashcards,P00125
U00126,Bienvenidas.,MUWENCHA'KU',bienvenidas.,muwencha'ku',flashcards,P00126
U00127,Bienvenido.,MUWENCHA'KER',bienvenido.,muwencha'ker',flashcards,P00127
U00128,¿Quién comió?,¿DEN'INA' KA'LLI?,¿quién comió?,¿den'ina' ka'lli?,flashcards,P00128
U00129,¿Quién corría?,¿DEN'INA' TEKA'LLI?,¿quién corría?,¿den'ina' teka'lli?,flashcards,P00129
U00130,¿Quién corrió?,¿DEN'INA' TEKA'LLI?,¿quién corrió?,¿den'ina' teka'lli?,flashcards,P00130
U00131,¿Quién ganó?,¿DEN'INA' KANA'TULLI?,¿quién ganó?,¿den'ina' kana'tulli?,flashcards,P00131
U00132,Corre.,TEK'KER',corre.,tek'ker',flashcards,P00132
U00133,Has ganado.,KANA'TULA,has ganado.,kana'tula,flashcards,P00133
U00134,¿Estoy gordo?,¿WEIPENSU' ÑAPALEK?,¿estoy gordo?,¿weipensu' ñapalek?,flashcards,P00134
U00135,Pregúntale.,LEK'KER',pregúntale.,lek'ker',flashcards,P00135
U00136,Pregúntales.,LEK'KER',pregúntales.,lek'ker',flashcards,P00136
U00137,Apártate.,PAKER' ÑILUPA',apártate.,paker' ñilupa',flashcards,P00137
U00138,Sé fuerte.,NANTAPITEK' ÑIKER',sé fuerte.,nantapitek' ñiker',flashcards,P00138
U00139,Sea breve.,EMPU'NI YALUNTA',sea breve.,empu'ni yalunta',flashcards,P00139
U00140,Sean breves.,EMPU'NI YALUNTAMA',sean breves.,empu'ni yaluntama',flashcards,P00140
U00141,Estate quieto.,YALENMEKTA',estate quieto.,yalenmekta',flashcards,P00141
U00142,Anímate.,NANTA'PIKER,anímate.,nanta'piker,flashcards,P00142
U00143,Venga.,WENCHER',venga.,wencher',flashcards,P00143
U00144,Ven a beber,UENCHER',ven a beber,uencher',flashcards,P00144
U00145,¡Cálmate!,¡TUNA'KER'!,¡cálmate!,¡tuna'ker'!,flashcards,P00145
U00146,Espósale.,TENPU'KER',espósale.,tenpu'ker',flashcards,P00146
U00147,Arregla esto.,ASU' TEKDI'PER'KER',arregla esto.,asu' tekdi'per'ker',flashcards,P00147
U00148,Abajo.,DAWIK',abajo.,dawik',flashcards,P00148
U00149,Túmbate.,ANU'KER',túmbate.,anu'ker',flashcards,P00149
U00150,¡Piérdete!,¡WER'KER'!,¡piérdete!,¡wer'ker'!,flashcards,P00150
U00151,¡Piénsalo bien!,¡MUSU' LLI'INUTER'!,¡piénsalo bien!,¡musu' lli'inuter'!,flashcards,P00151
U00152,Adelante. (ingresa),DA'ENCHER',adelante. (ingresa),da'encher',flashcards,P00152
U00153,Adelante. (parte superior),EKTER,adelante. (parte superior),ekter,flashcards,P00153
U00154,Adelántante,EKTE'CHER',adelántante,ekte'cher',flashcards,P00154
U00155,Se adelantará.,EKTE'CHECHU,se adelantará.,ekte'chechu,flashcards,P00155
U00156,Se adelantarán.,EKTE'CHECHUNA',se adelantarán.,ekte'chechuna',flashcards,P00156
U00157,Entra.,DA'ENCHER',entra.,da'encher',flashcards,P00157
U00158,Entren.,DA'ENCHA'KU',entren.,da'encha'ku',flashcards,P00158
U00159,¡Buen trabajo!,¡MUSA'KA'TUNA!,¡buen trabajo!,¡musa'ka'tuna!,flashcards,P00159
U00160,Agárralo.,PILLI'TER',agárralo.,pilli'ter',flashcards,P00160
U00161,Diviértanse.,SAKEK'KU',diviértanse.,sakek'ku',flashcards,P00161
U00162,Pásala bien.,MUSU'NAKUKER',pásala bien.,musu'nakuker',flashcards,P00162
U00163,Pásenla bien.,MUSU'NAKUKU',pásenla bien.,musu'nakuku',flashcards,P00163
U00164,Él habló.,NANA LUNÑI,él habló.,nana lunñi,flashcards,P00164
U00165,Él prueba.,NANA LATA'LLI,él prueba.,nana lata'lli,flashcards,P00165
U00166,Ayúdalo.,KATU'PER',ayúdalo.,katu'per',flashcards,P00166
U00167,Buenas.,MULUSA',buenas.,mulusa',flashcards,P00167
U00168,¡Qué encanto!,¡EMPU'NI MUSHIPA'!,¡qué encanto!,¡empu'ni mushipa'!,flashcards,P00168
U00169,Compláceme.,A'SAKEK'U,compláceme.,a'sakek'u,flashcards,P00169
U00170,¡Date prisa!,¡WIUKER'!,¡date prisa!,¡wiuker'!,flashcards,P00170
U00171,Apresúrate.,WIUKER',apresúrate.,wiuker',flashcards,P00171
U00172,Estoy viejo.,TASERPIKU',estoy viejo.,taserpiku',flashcards,P00172
U00173,Puedo ir.,YENNITULEK PA'AK,puedo ir.,yennitulek pa'ak,flashcards,P00173
U00174,Lo hice.,NU'TULEK,lo hice.,nu'tulek,flashcards,P00174
U00175,Fracasé.,A'APER'LEK',fracasé.,a'aper'lek',flashcards,P00175
U00176,Lo olvidé.,PINANER'LEK',lo olvidé.,pinaner'lek',flashcards,P00176
U00177,Lo entiendo.,LACHEK'APALEK,lo entiendo.,lachek'apalek,flashcards,P00177
U00178,Lo tengo.,A'ÑAPALEK,lo tengo.,a'ñapalek,flashcards,P00178
U00179,Me niego.,LUWANCHI'NEK,me niego.,luwanchi'nek,flashcards,P00179
U00180,Renuncio.,YUNSU'LEK',renuncio.,yunsu'lek',flashcards,P00180
U00181,Lo vi.,LLI'LEK,lo vi.,lli'lek,flashcards,P00181
U00182,Sonreí.,YAMERLADALEK',sonreí.,yamerladalek',flashcards,P00182
U00183,Reí.,YAMERLEK',reí.,yamerlek',flashcards,P00183
U00184,Me quedé.,LLIYA'LEK',me quedé.,lliya'lek',flashcards,P00184
U00185,Esperé.,WA'TEN'NEK',esperé.,wa'ten'nek',flashcards,P00185
U00186,Yo pagaré.,KUA PANWILEK'TE'CHEK',yo pagaré.,kua panwilek'te'chek',flashcards,P00186
U00187,He vuelto.,ADENCHA'LEK,he vuelto.,adencha'lek,flashcards,P00187
U00188,Soy calvo.,NUWEK'MUTU'KU,soy calvo.,nuwek'mutu'ku,flashcards,P00188
U00189,Estoy calvo.,NUWEK'MUTU' ÑAPALEK,estoy calvo.,nuwek'mutu' ñapalek,flashcards,P00189
U00190,Estoy calmado.,TUNA'SU' ÑAPALEK,estoy calmado.,tuna'su' ñapalek,flashcards,P00190
U00191,Está calmando. (dolor),LATADA'PILALLI,está calmando. (dolor),latada'pilalli,flashcards,P00191
U00192,Estoy tranquilo. (estoy bien),U'CHIMUÑAPALEK,estoy tranquilo. (estoy bien),u'chimuñapalek,flashcards,P00192
U00193,He terminado.,A'TA'WANTULEK,he terminado.,a'ta'wantulek,flashcards,P00193
U00194,Soy justo. (soy bueno),MUKANKANKU',soy justo. (soy bueno),mukankanku',flashcards,P00194
U00195,Soy bueno. (hacer bien algo),U'CHIMUKU,soy bueno. (hacer bien algo),u'chimuku,flashcards,P00195
U00196,Estoy perfectamente.,U'CHIMUINCHI ÑAPALEK,estoy perfectamente.,u'chimuinchi ñapalek,flashcards,P00196
U00197,¡Soy libre!,¡INAPIKU!,¡soy libre!,¡inapiku!,flashcards,P00197
U00198,Estoy lleno.,MER'SU' ÑAPALEK,estoy lleno.,mer'su' ñapalek,flashcards,P00198
U00199,Estoy llena.,MER'SU' ÑAPALEK,estoy llena.,mer'su' ñapalek,flashcards,P00199
U00200,Estoy aquí.,ASEK' ÑAPALEK,estoy aquí.,asek' ñapalek,flashcards,P00200
U00201,Estoy herido.,CHACHA'LEK ÑAPALEK,estoy herido.,chacha'lek ñapalek,flashcards,P00201
U00202,Llego tarde.,ERWA' EKTU'LEK,llego tarde.,erwa' ektu'lek,flashcards,P00202
U00203,Soy vago.,PERCHEK' NUKA'KA,soy vago.,perchek' nuka'ka,flashcards,P00203
U00204,Estoy perdida.,WER'SU' ÑAPALEK,estoy perdida.,wer'su' ñapalek,flashcards,P00204
U00205,Soy malo. (maldad),MUKANKAINPU' NUKA'KA,soy malo. (maldad),mukankainpu' nuka'ka,flashcards,P00205
U00206,Soy malo. (hacer mal las cosas),MUI'NEK,soy malo. (hacer mal las cosas),mui'nek,flashcards,P00206
U00207,Soy pobre.,KULLIKER'WI'NEK,soy pobre.,kulliker'wi'nek,flashcards,P00207
U00208,Soy rica.,WAPU' KULLIKER'WANEK,soy rica.,wapu' kulliker'wanek,flashcards,P00208
U00209,Soy rico.,WAPU' KULLIKER'WANEK,soy rico.,wapu' kulliker'wanek,flashcards,P00209
U00210,Estoy enferma.,KALUWI'SU' ÑAPALEK,estoy enferma.,kaluwi'su' ñapalek,flashcards,P00210
U00211,Soy delgado. (masculino),SHAMU'PENSU' NUKA'KA,soy delgado. (masculino),shamu'pensu' nuka'ka,flashcards,P00211
U00212,Soy delgada. (femenino),SHAMU'LUNSU' NUKA'KA,soy delgada. (femenino),shamu'lunsu' nuka'ka,flashcards,P00212
U00213,Estoy limpio.,PEKUIPI ÑAPALEK,estoy limpio.,pekuipi ñapalek,flashcards,P00213
U00214,Estoy calientito.,UKAPISHA ÑAPALEK,estoy calientito.,ukapisha ñapalek,flashcards,P00214
U00215,Estoy caliente.,UKAPISU' ÑAPALEK,estoy caliente.,ukapisu' ñapalek,flashcards,P00215
U00216,Estoy débil.,MUDINUI'SU' ÑAPALEK,estoy débil.,mudinui'su' ñapalek,flashcards,P00216
U00217,Soy listo.,IÑER' ÑINCHITAPALEK,soy listo.,iñer' ñinchitapalek,flashcards,P00217
U00218,Estoy listo. (preparado),INSEK'DIPERPIKU' NUKA'KA,estoy listo. (preparado),insek'diperpiku' nuka'ka,flashcards,P00218
U00219,Gané.,KANA'TULEK,gané.,kana'tulek,flashcards,P00219
U00220,Eso ayuda.,NANA KATU'PATULLI,eso ayuda.,nana katu'patulli,flashcards,P00220
U00221,Duele.,IKERLLI,duele.,ikerlli,flashcards,P00221
U00222,Funciona.,SAKA'TULLI.,funciona.,saka'tulli.,flashcards,P00222
U00223,Es Tom.,TOM NUKA'A,es tom.,tom nuka'a,flashcards,P00223
U00224,Es divertido.,WA'DANPINTEK,es divertido.,wa'danpintek,flashcards,P00224
U00225,Es suyo.,KENMAKIN NUKA'A,es suyo.,kenmakin nuka'a,flashcards,P00225
U00226,Es nuevo.,NALU' NUKA'A,es nuevo.,nalu' nuka'a,flashcards,P00226
U00227,Es extraño.,NERPI'LA NUKA'A,es extraño.,nerpi'la nuka'a,flashcards,P00227
U00228,Es viejo.,NAPI'DA' NUKA'A,es viejo.,napi'da' nuka'a,flashcards,P00228
U00229,Es rojo.,PIPERSU' NUKA'A,es rojo.,pipersu' nuka'a,flashcards,P00229
U00230,Es triste.,WE'INU NUKA'A,es triste.,we'inu nuka'a,flashcards,P00230
U00231,Prohibido pasar.,KU'LA NAKUI'NCHU,prohibido pasar.,ku'la nakui'nchu,flashcards,P00231
U00232,No entrar.,KU'LA DAI'NCHU,no entrar.,ku'la dai'nchu,flashcards,P00232
U00233,Déjalo.,TAI'TULER',déjalo.,tai'tuler',flashcards,P00233
U00234,Déjame.,TAI'TULA'U,déjame.,tai'tula'u,flashcards,P00234
U00235,Déjanos.,TAI'TULA'UDEK,déjanos.,tai'tula'udek,flashcards,P00235
U00236,Vamos.,PA'A,vamos.,pa'a,flashcards,P00236
U00237,Cuidado.,LLI'KER'LLIA',cuidado.,lli'ker'llia',flashcards,P00237
U00238,Cásate conmigo.,SADAKER' KUALEK',cásate conmigo.,sadaker' kualek',flashcards,P00238
U00239,¿Puedo ir?,¿YEN'NITULEK PA'AK?,¿puedo ir?,¿yen'nitulek pa'ak?,flashcards,P00239
U00240,Ella vino.,NANA UK'LLI,ella vino.,nana uk'lli,flashcards,P00240
U00241,Ella murió.,NANA CHIMIÑI,ella murió.,nana chimiñi,flashcards,P00241
U00242,Ella corre.,NANA TEKA'LLI,ella corre.,nana teka'lli,flashcards,P00242
U00243,Siéntate.,DU'KER',siéntate.,du'ker',flashcards,P00243
U00244,Mes. ,DUKER,mes.,duker,flashcards,P00244
U00245,Luna,DUKER,luna,duker,flashcards,P00245
U00246,Siéntate aquí.,DU'KER' ASEK,siéntate aquí.,du'ker' asek,flashcards,P00246
U00247,Prepárate.,INSEK'DIPER'KER',prepárate.,insek'diper'ker',flashcards,P00247
U00248,Un momento.,WA'TENKER',un momento.,wa'tenker',flashcards,P00248
U00249,Parate,WANERKER',parate,wanerker',flashcards,P00249
U00250,¡De pie!,¡WANERKER'!,¡de pie!,¡wanerker'!,flashcards,P00250
U00251,¡Genial!,¡U'CHIMU!,¡genial!,¡u'chimu!,flashcards,P00251
U00252,Ellos ganaron.,NAWA' KANA'TULLINA',ellos ganaron.,nawa' kana'tullina',flashcards,P00252
U00253,Tom vino.,TOM UK'LLI,tom vino.,tom uk'lli,flashcards,P00253
U00254,Dia.,UKLLI,dia.,uklli,flashcards,P00254
U00255,Tom mintió.,TOM TUMU'LLI,tom mintió.,tom tumu'lli,flashcards,P00255
U00256,Tomás miente.,TOMAS TUMU'PALLI,tomás miente.,tomas tumu'palli,flashcards,P00256
U00257,Tom perdió.,TOM KANA'CHI'ÑI,tom perdió.,tom kana'chi'ñi,flashcards,P00257
U00258,Tom pagó.,TOM PANWILEK'TULLI,tom pagó.,tom panwilek'tulli,flashcards,P00258
U00259,Tom renunció.,TOM YUNSU'LLI,tom renunció.,tom yunsu'lli,flashcards,P00259
U00260,Tom nadó.,TOM IDUÑI,tom nadó.,tom iduñi,flashcards,P00260
U00261,Tom lloró.,TOM WELLIEK'LLI,tom lloró.,tom welliek'lli,flashcards,P00261
U00262,Demasiado tarde.,NAKUSUIN'CHI ERWA',demasiado tarde.,nakusuin'chi erwa',flashcards,P00262
U00263,Prueben esto. (saborear),LATA'KU' ASU',prueben esto. (saborear),lata'ku' asu',flashcards,P00263
U00264,Prueba esto. (saborear),LATA'KER' ASU',prueba esto. (saborear),lata'ker' asu',flashcards,P00264
U00265,Usa esto.,PATA'KER' ASU',usa esto.,pata'ker' asu',flashcards,P00265
U00266,Mírame.,LLI'U,mírame.,lli'u,flashcards,P00266
U00267,Vigílame.,LUWUK'TU'U,vigílame.,luwuk'tu'u,flashcards,P00267
U00268,Obsérvame.,LLI'U,obsérvame.,lli'u,flashcards,P00268
U00269,Obsérvalos.,LLI'DEK'KU',obsérvalos.,lli'dek'ku',flashcards,P00269
U00270,Iremos.,PA'ATERWA',iremos.,pa'aterwa',flashcards,P00270
U00271,Estamos bien.,MU'PALLIDEK',estamos bien.,mu'pallidek',flashcards,P00271
U00272,¿Para qué?,¿MA'KI'NA?,¿para qué?,¿ma'ki'na?,flashcards,P00272
U00273,¡Qué divertido!,¡EMPU'NI WA'DANPINTEK'IPA'!,¡qué divertido!,¡empu'ni wa'danpintek'ipa'!,flashcards,P00273
U00274,¿Quién vino?,¿DEN UK'LLI?,¿quién vino?,¿den uk'lli?,flashcards,P00274
U00275,¿Quién murió?,¿DEN CHIMIÑI?,¿quién murió?,¿den chimiñi?,flashcards,P00275
U00276,¿Quién nadó?,¿DEN IDUÑI?,¿quién nadó?,¿den iduñi?,flashcards,P00276
U00277,Escríbeme.,LLINSER'CHU'U,escríbeme.,llinser'chu'u,flashcards,P00277
U00278,Tú primero.,KENMAMENTU,tú primero.,kenmamentu,flashcards,P00278
U00279,Usted primero.,KENMAMENTU,usted primero.,kenmamentu,flashcards,P00279
U00280,Apunta. ¡Fuego!,TAÑITER' . ¡PEN!,apunta. ¡fuego!,tañiter' . ¡pen!,flashcards,P00280
U00281,Respóndeme.,NA'PI'U,respóndeme.,na'pi'u,flashcards,P00281
U00282,Respóndanme.,NA'PIU'KU,respóndanme.,na'piu'ku,flashcards,P00282
U00283,Jesús.,KISHU,jesús.,kishu,flashcards,P00283
U00284,Cálmate.,TA'TULER',cálmate.,ta'tuler',flashcards,P00284
U00285,Tranquilízate.,TA'TULER',tranquilízate.,ta'tuler',flashcards,P00285
U00286,Captúralo.,PILLI'TER',captúralo.,pilli'ter',flashcards,P00286
U00287,Captúrenlo.,PILLI'TUKU',captúrenlo.,pilli'tuku',flashcards,P00287
U00288,Atrápenlo.,PILLI'TUKU',atrápenlo.,pilli'tuku',flashcards,P00288
U00289,Atrápalo.,PILLI'TER',atrápalo.,pilli'ter',flashcards,P00289
